id,title,description,tiny_description,short_description,medium_description,long_description,price,shelf_time,campus_id,last_update,archived,taxable,category_names,vendor,source,notes,total_cal,num_servings,ingredients,calories,proteins,sugar,carbohydrates,fat,consumer_category,ws_case_size,kiosk_ship_qty,pick_station,fc_title,width_space,height_space,depth_space,slotted_width,tag_volume,delivery_option,tag_applied_by,,,,,
2350,Harmless Harvest - Harmless Harvest Coconut Water 16 oz,Organic Coconut Water,null,null,null,null,5.99,30,87,1524454848,0,0,Other Beverage;Drinks,Harmless Harvest,Good Stuff,null,60,2,organic coconut water,60,0,14,15,0,Drinks,12,1,2,Coconut Water,2.5,8,2.5,2.5,2000,P,W,,,,,
2352,Slingshot - Strawberry,.,null,null,null,null,4.79,30,87,1526426647,0,0,Yogurt & Dairy;Snacks,SlingShot,SlingShot,null,347,1,"(drink) lowfat milk, milk protein concentrate, agave syrup, strawberries, water, natural flavors, fruit and vegetable juice (for color), yogurt cultures; (shot) toasted oats, chia seeds, almond bits, honey, sunflower oil",347,18,37,46,10,Breakfast,6,1,2,Yogurt,2.75,6,2.75,2.75,500,P,W,,,,,
2358,Savvy Savories - Pasta Bolognese,.,null,null,null,null,6.99,11,87,1527120885,0,0,Reheatable Entree;Entrees,Savvy Savories,Natural Choice,null,999,2,"Enriched pasta(durum wheat semolina, niacin, Iron, lactate, thiamin mononitrate, riboflavin, folic acid), organic tomato puree, meatless Italian sausage (vital wheat gluten, spices, fresh lemon juice, red wine, soy sauce, organic garlic, organic onions, bell peppers, extra virgin olive oil, red wine, parmesan cheese (cultured milk, enzymes, salt, cellulose), expeller pressed canola oil, herbs, spice ,and pure sea salt. Contains: Milk, Wheat, Soy.",290,17,3,40,7,Entrees,1,1,1,Entrees_Veg,5,7.25,2,5,1000,P,W,,,,,
2360,Blue Bottle - New Orleans Style Iced Coffee,"Clover organic milk, organic chicory, organic cane sugar",Iced coffee cold brewed.,"Sweet, creamy iced coffee cold-brewed with roasted chicory, with whole milk and organic cane sugar.","New Orleans Iced Coffee is a sweet, creamy, decadent iced coffee that's cold-brewed with roasted chicory, then cut with whole milk and organic cane sugar.","From the original Blue Bottle makers in Oakland, New Orleans Iced Coffee is a sweet, creamy, decadent iced coffee that's cold-brewed with roasted chicory, then cut with whole milk and organic cane sugar. Blue Bottle works directly with farmers around the world to source the most delicious and sustainable coffees.",4.59,17,87,1524454848,0,0,Coffee;Drinks,Blue Bottle,Petaluma Farms,null,160,1,"organic milk, cold-brewed organic coffee blend, organic cane syrup",160,6,19,19,6,Drinks,12,1,2,Iced Coffee,2.75,4.25,2.75,2.75,2000,P,W,,,,,
2363,Shakti - Thai Coconut Curry with Peanut Ginger Rice,"thai jasmine rice, organic tofu, soy, coconut milk, cauliflower, carrots, potato, butternut squash, bell peppers, green beans, mushrooms, tomato, onion, peanut butter, ginger, garlic, sugar, vegetable, soy, spices, salt, lemon grass, thai basil",null,null,null,null,9.59,21,87,1522797494,1,0,Reheatable Entree;Entrees,Shakti,Fresh India Cuisine,null,999,1,"thai jasmine rice, organic tofu, soy, coconut milk, cauliflower, carrots, potato, butternut squash, bell peppers, green beans, mushrooms, tomato, onion, peanut butter, ginger, garlic, sugar, vegetable, soy, spices, salt, lemon grass, thai basil",560,26,12,65,24,Entrees,1,1,1,Entrees_Veg,7.25,4.75,2,4.75,200,P,W,,,,,
2457,Savvy Savories - Spicy Peanut Noodles,null,null,null,null,null,6.99,8,87,1527120885,0,0,Reheatable Entree;Entrees,Savvy Savories,Natural Choice,null,999,2,"Enriched pasta(durum wheat semolina, niacin, Iron, lactate, thiamin mononitrate, riboflavin, folic acid), organic carrots, pure peanut butter, natural soy sauce (soybeans (non gmo), water, wheat, salt), chili paste (chili peppers, distilled white vinegar, water, sea salt), green onions, tofu (organic soy beans, water, magnesium, chloride), rice vinegar (rice, water), organic garlic, ginger, organic cane sugar, expeller pressed canola oil and spices. Contains: Peanuts, Wheat and Soy,",310,12,5,41,12,Entrees,1,1,1,Entrees_Veg,null,null,null,null,1000,P,W,,,,,
2603,Perfect Bar - Almond Butter,.,null,null,null,null,2.99,180,87,1524454849,0,0,Energy Bars;Snacks,Perfect Bar,Good Stuff,null,310,1,"almond butter, organic nonfat dry milk, allmond pieces, organic dried whole egg powder, organic rice protein, organic sesame seeds, organic flax seed oil, organic sunflower seed oil, organic sesame oil, organic olive oil, organic pumpkin seed oil, dried whole food powders",310,13,18,24,18,Snacks,8,8,4,Energy Bars,2,6.5,0.5,2,2000,P,W,,,,,
2604,Perfect Bar - Peanut Butter,.,null,null,null,null,2.99,180,87,1524454849,0,0,Energy Bars;Snacks,Perfect Bar,Good Stuff,null,330,1,"organic peanut butter, honey, nonfat dry milk, whole eggs, flax seed oil, sunflower seed oil, sesame seed oil, olive oil, pumkin seed oil, apple, alfalfa, celery, kelp, dulse, carrot, spinach all organic",330,17,18,26,18,Snacks,8,8,4,Energy Bars,2,6.5,0.5,2,2000,P,W,,,,,
2605,Slingshot - Plain,.,null,null,null,null,4.79,30,87,1526426647,0,0,Yogurt & Dairy;Snacks,SlingShot,SlingShot,null,294,1,"(drink) lowfat milk, milk protein concentrate, yogurt cultures; (shot) toasted oats, chia seeds, almond bits, honey, sunflower oil",294,20,18,26,11,Breakfast,6,1,2,Yogurt,null,null,null,null,1000,P,W,,,,,
2606,Slingshot - Vanilla,.,null,null,null,null,4.79,30,87,1526426647,0,0,Yogurt & Dairy;Snacks,SlingShot,SlingShot,null,355,1,"(drink) lowfat milk, milk protein concentrate, water, organic cane sugar, honey, natural flavors, vanilla beans, lemon juice concentrate, yogurt cultures; (shot) toasted oats, chia seeds, almond bits, honey, sunflower oil",355,17,38,47,10,Breakfast,6,1,2,Yogurt,2.75,6,2.75,2.75,500,P,W,,,,,
